% Date [YYYYMMDD],20230626,,,,,,,
% Experimenter,LH,,,,,,,
% Experiment,GammaSleep,,,,,,,
% Condition,exp,,,,,,,
% Note,,,,,,,,
%  ,,,,,,,,
% Sample rate [Hz],80,,,,,,,
% MinValue,0,,,,,,,
% MaxValue,320,,,,,,,
% NSamples,400,,,,,,,
% NRepeat,1,,,,,,,
% ,,,,,,,,
Sample,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Trigger,Note
313,34,34,0,0,0,0,0,
314,0,0,0,0,0,0,0,
315,33,33,0,0,0,0,0,
316,0,0,0,0,0,0,0,
317,31,31,0,0,0,0,0,
318,0,0,0,0,0,0,0,
319,30,30,0,0,0,0,0,
320,0,0,0,0,0,0,0,
321,29,29,0,0,0,0,0,
322,0,0,0,0,0,0,0,
323,28,28,0,0,0,0,0,
324,0,0,0,0,0,0,0,
325,26,26,0,0,0,0,0,
326,0,0,0,0,0,0,0,
327,25,25,0,0,0,0,0,
328,0,0,0,0,0,0,0,
329,24,24,0,0,0,0,0,
330,0,0,0,0,0,0,0,
331,23,23,0,0,0,0,0,
332,0,0,0,0,0,0,0,
333,22,22,0,0,0,0,0,
334,0,0,0,0,0,0,0,
335,21,21,0,0,0,0,0,
336,0,0,0,0,0,0,0,
337,20,20,0,0,0,0,0,
338,0,0,0,0,0,0,0,
339,19,19,0,0,0,0,0,
340,0,0,0,0,0,0,0,
341,18,18,0,0,0,0,0,
342,0,0,0,0,0,0,0,
343,17,17,0,0,0,0,0,
344,0,0,0,0,0,0,0,
345,16,16,0,0,0,0,0,
346,0,0,0,0,0,0,0,
347,15,15,0,0,0,0,0,
348,0,0,0,0,0,0,0,
349,14,14,0,0,0,0,0,
350,0,0,0,0,0,0,0,
351,13,13,0,0,0,0,0,
352,0,0,0,0,0,0,0,
353,12,12,0,0,0,0,0,
354,0,0,0,0,0,0,0,
355,11,11,0,0,0,0,0,
356,0,0,0,0,0,0,0,
357,10,10,0,0,0,0,0,
358,0,0,0,0,0,0,0,
359,10,10,0,0,0,0,0,
360,0,0,0,0,0,0,0,
361,9,9,0,0,0,0,0,
362,0,0,0,0,0,0,0,
363,8,8,0,0,0,0,0,
364,0,0,0,0,0,0,0,
365,7,7,0,0,0,0,0,
366,0,0,0,0,0,0,0,
367,7,7,0,0,0,0,0,
368,0,0,0,0,0,0,0,
369,6,6,0,0,0,0,0,
370,0,0,0,0,0,0,0,
371,5,5,0,0,0,0,0,
372,0,0,0,0,0,0,0,
373,5,5,0,0,0,0,0,
374,0,0,0,0,0,0,0,
375,4,4,0,0,0,0,0,
376,0,0,0,0,0,0,0,
377,4,4,0,0,0,0,0,
378,0,0,0,0,0,0,0,
379,3,3,0,0,0,0,0,
380,0,0,0,0,0,0,0,
381,3,3,0,0,0,0,0,
382,0,0,0,0,0,0,0,
383,2,2,0,0,0,0,0,
384,0,0,0,0,0,0,0,
385,2,2,0,0,0,0,0,
386,0,0,0,0,0,0,0,
387,1,1,0,0,0,0,0,
388,0,0,0,0,0,0,0,
389,1,1,0,0,0,0,0,
390,0,0,0,0,0,0,0,
391,1,1,0,0,0,0,0,
392,0,0,0,0,0,0,0,
393,0,0,0,0,0,0,0,
394,0,0,0,0,0,0,0,
395,0,0,0,0,0,0,0,
396,0,0,0,0,0,0,0,
397,0,0,0,0,0,0,0,
398,0,0,0,0,0,0,0,
399,0,0,0,0,0,0,0,
400,0,0,0,0,0,0,0,
