"% Date [YYYYMMDD]";20230317;;;;;;;
"% Experimenter";"MS";;;;;;;
"% Experiment";"SleepLight";;;;;;;
"% Condition";"SineWaveBlue";;;;;;;
"% Note";"Stimulation of Light";;;;;;;
"% ";;;;;;;;
"% Sample rate [Hz]";40;;"achtzig werte prosekunde";;;;;
"% MinValue";0;;;;;;;
"% MaxValue";4095;;;;;;;
"% NSamples";400;;;;;;;
"% NRepeat";2;;;;;;;
"%";;;;;;;;
"Sample";"Channel1";"Channel2";"Channel3";"Channel4";"Channel5";"Channel6";"Trigger";"Note"
384;4095;0;1;0;1;0;0;
385;4095;0;1;0;1;0;1;
386;4095;0;1;0;1;1;0;
387;4095;4095;1;0;1;1;1;
388;4095;4095;1;1;0;0;0;
389;4095;4095;1;1;0;0;1;
390;4095;4095;1;1;0;1;0;
391;4095;4095;1;1;0;1;1;
392;4095;4095;1;1;1;0;0;
393;4095;4095;1;1;1;0;1;
394;4095;4095;1;1;1;1;0;
395;4095;4095;1;1;1;1;1;
396;4095;4095;0;0;0;0;0;
397;4095;4095;1;1;1;1;1;
398;4095;4095;0;0;0;0;0;
399;4095;4095;1;1;1;1;1;
400;4095;4095;0;0;0;0;0;
;;;;;;;;"long read"
;;;;;;;;
;;;;;;;;"long read"
