% Date [YYYYMMDD];20230317;;;;;
% Experimenter;MS;;;;;
% Experiment;SleepLight;;;;;
% Condition;SineWaveBlue;;;;;
% Note;Stimulation of Light;;;;;
% ;;;;;;
% Sample rate [Hz];80;;achtzig werte prosekunde;;;
% MinValue;0;;;;;
% MaxValue;4095;;;;;
% NSamples;800;;;;;
% NRepeat;30;;;;;
%;;;;;;
Sample;Channel1;Channel2;Channel3;Channel4;Trigger;Note
641;4095;4095;0;0;1;
642;0;0;0;0;0;
643;4095;4095;0;0;1;
644;0;0;0;0;0;
645;4095;4095;0;0;1;
646;0;0;0;0;0;
647;4095;4095;0;0;1;
648;0;0;0;0;0;
649;4095;4095;0;0;1;
650;0;0;0;0;0;
651;4095;4095;0;0;1;
652;0;0;0;0;0;
653;4095;4095;0;0;1;
654;0;0;0;0;0;
655;4095;4095;0;0;1;
656;0;0;0;0;0;
657;4095;4095;0;0;1;
658;0;0;0;0;0;
659;4095;4095;0;0;1;
660;0;0;0;0;0;
661;4095;4095;0;0;1;
662;0;0;0;0;0;
663;4095;4095;0;0;1;
664;0;0;0;0;0;
665;4095;4095;0;0;1;
666;0;0;0;0;0;
667;4095;4095;0;0;1;
668;0;0;0;0;0;
669;4095;4095;0;0;1;
670;0;0;0;0;0;
671;4095;4095;0;0;1;
672;0;0;0;0;0;
673;4095;4095;0;0;1;
674;0;0;0;0;0;
675;4095;4095;0;0;1;
676;0;0;0;0;0;
677;4095;4095;0;0;1;
678;0;0;0;0;0;
679;4095;4095;0;0;1;
680;0;0;0;0;0;
681;4095;4095;0;0;1;
682;0;0;0;0;0;
683;4095;4095;0;0;1;
684;0;0;0;0;0;
685;4095;4095;0;0;1;
686;0;0;0;0;0;
687;4095;4095;0;0;1;
688;0;0;0;0;0;
689;4095;4095;0;0;1;
690;0;0;0;0;0;
691;4095;4095;0;0;1;
692;0;0;0;0;0;
693;4095;4095;0;0;1;
694;0;0;0;0;0;
695;4095;4095;0;0;1;
696;0;0;0;0;0;
697;4095;4095;0;0;1;
698;0;0;0;0;0;
699;4095;4095;0;0;1;
700;0;0;0;0;0;
701;4095;4095;0;0;1;
702;0;0;0;0;0;
703;4095;4095;0;0;1;
704;0;0;0;0;0;
705;4095;4095;0;0;1;
706;0;0;0;0;0;
707;4095;4095;0;0;1;
708;0;0;0;0;0;
709;4095;4095;0;0;1;
710;0;0;0;0;0;
711;4095;4095;0;0;1;
712;0;0;0;0;0;
713;4095;4095;0;0;1;
714;0;0;0;0;0;
715;4095;4095;0;0;1;
716;0;0;0;0;0;
717;4095;4095;0;0;1;
718;0;0;0;0;0;
719;4095;4095;0;0;1;
720;0;0;0;0;0;
721;4095;4095;0;0;1;
722;0;0;0;0;0;
723;4095;4095;0;0;1;
724;0;0;0;0;0;
725;4095;4095;0;0;1;
726;0;0;0;0;0;
727;4095;4095;0;0;1;
728;0;0;0;0;0;
729;4095;4095;0;0;1;
730;0;0;0;0;0;
731;4095;4095;0;0;1;
732;0;0;0;0;0;
733;4095;4095;0;0;1;
734;0;0;0;0;0;
735;4095;4095;0;0;1;
736;0;0;0;0;0;
737;4095;4095;0;0;1;
738;0;0;0;0;0;
739;4095;4095;0;0;1;
740;0;0;0;0;0;
741;4095;4095;0;0;1;
742;0;0;0;0;0;
743;4095;4095;0;0;1;
744;0;0;0;0;0;
745;4095;4095;0;0;1;
746;0;0;0;0;0;
747;4095;4095;0;0;1;
748;0;0;0;0;0;
749;4095;4095;0;0;1;
750;0;0;0;0;0;
751;4095;4095;0;0;1;
752;0;0;0;0;0;
753;4095;4095;0;0;1;
754;0;0;0;0;0;
755;4095;4095;0;0;1;
756;0;0;0;0;0;
757;4095;4095;0;0;1;
758;0;0;0;0;0;
759;4095;4095;0;0;1;
760;0;0;0;0;0;
761;4095;4095;0;0;1;
762;0;0;0;0;0;
763;4095;4095;0;0;1;
764;0;0;0;0;0;
765;4095;4095;0;0;1;
766;0;0;0;0;0;
767;4095;4095;0;0;1;
768;0;0;0;0;0;
769;4095;4095;0;0;1;
770;0;0;0;0;0;
771;4095;4095;0;0;1;
772;0;0;0;0;0;
773;4095;4095;0;0;1;
774;0;0;0;0;0;
775;4095;4095;0;0;1;
776;0;0;0;0;0;
777;4095;4095;0;0;1;
778;0;0;0;0;0;
779;4095;4095;0;0;1;
780;0;0;0;0;0;
781;4095;4095;0;0;1;
782;0;0;0;0;0;
783;4095;4095;0;0;1;
784;0;0;0;0;0;
785;4095;4095;0;0;1;
786;0;0;0;0;0;
787;4095;4095;0;0;1;
788;0;0;0;0;0;
789;4095;4095;0;0;1;
790;0;0;0;0;0;
791;4095;4095;0;0;1;
792;0;0;0;0;0;
793;4095;4095;0;0;1;
794;0;0;0;0;0;
795;4095;4095;0;0;1;
796;0;0;0;0;0;
797;4095;4095;0;0;1;
798;0;0;0;0;0;
799;4095;4095;0;0;1;
800;0;0;0;0;0;
